,trip_id,time,rel_dist,route_id,direction_id,shape_id,geometry
4044,B20171105WKD_051000_R..N93R,09:00:00,0.3034865164082852,R,0.0,R..N93R,POINT (-73.99458646102521 40.69487191889169)
4045,B20171105WKD_051000_R..N93R,10:00:00,0.9625740386979421,R,0.0,R..N93R,POINT (-73.85637193681956 40.72794172015436)
4046,B20171105WKD_051100_A..N17R,09:00:00,0.3867264152202802,A,0.0,A..N17R,POINT (-73.97248160679551 40.68552681679035)
4047,B20171105WKD_051150_E..S71R,09:00:00,0.5893565699170544,E,1.0,E..S71R,POINT (-73.93957492818052 40.74813471915623)
4048,B20171105WKD_051200_F..S68R,09:00:00,0.37776554753268327,F,1.0,F..S68R,POINT (-73.92573947280216 40.75213946585632)
4049,B20171105WKD_051250_E..N66R,09:00:00,0.4678822085552278,E,0.0,E..N66R,POINT (-73.92537971069555 40.75219635776423)
4050,B20171105WKD_051250_L..N01R,09:00:00,0.6751125131008145,L,0.0,L..N01R,POINT (-73.95344280854495 40.7151733386989)
4051,B20171105WKD_051300_C..S04R,09:00:00,0.3790032285700354,C,1.0,C..S04R,POINT (-74.00070939309072 40.74224015879317)
4055,B20171105WKD_051400_C..N04R,09:00:00,0.3686089717852758,C,0.0,C..N04R,POINT (-73.98149683315545 40.68721213107457)
4059,B20171105WKD_051500_J..N12R,09:00:00,0.43632408618793384,J,0.0,J..N12R,POINT (-73.9208198498185 40.68880221334413)
4060,B20171105WKD_051500_L..S01R,09:00:00,0.6893589649901495,L,1.0,L..S01R,POINT (-73.90227282738911 40.69453932228938)
4063,B20171105WKD_051600_J..S12R,09:00:00,0.4622603422818985,J,1.0,J..S12R,POINT (-73.89979921639244 40.67684872311806)
4064,B20171105WKD_051650_E..S71R,09:00:00,0.5023562074627859,E,1.0,E..S71R,POINT (-73.91759700978068 40.75382220284739)
4066,B20171105WKD_051700_D..S14R,09:00:00,0.2950286771585161,D,1.0,D..S14R,POINT (-73.95657769340781 40.80276719034651)
4067,B20171105WKD_051700_D..S14R,10:00:00,0.9480915361160277,D,1.0,D..S14R,POINT (-73.98568957623719 40.59701069461624)
4068,B20171105WKD_051700_E..N66R,09:00:00,0.353478357970519,E,0.0,E..N66R,POINT (-73.95443675087567 40.74972739068931)
4069,B20171105WKD_051750_B..N46R,09:00:00,0.4220132146620575,B,0.0,B..N46R,POINT (-73.9816361151246 40.69026165848667)
4070,B20171105WKD_051750_D..N07R,09:00:00,0.20402002734719496,D,0.0,D..N07R,POINT (-73.99553720082844 40.64702889905914)
4071,B20171105WKD_051750_D..N07R,10:00:00,0.9005914564971942,D,0.0,D..N07R,POINT (-73.90536539272284 40.85023739210213)
4072,B20171105WKD_051750_F..S69R,09:00:00,0.27717324595132836,F,1.0,F..S69R,POINT (-73.89453060488087 40.74800136187837)
4073,B20171105WKD_051750_F..S69R,10:00:00,0.8788943467429761,F,1.0,F..S69R,POINT (-73.9757319497507 40.62323780094432)
4075,B20171105WKD_051750_R..N93R,09:00:00,0.25165657113830825,R,0.0,R..N93R,POINT (-73.9786071339133 40.68794235043497)
4076,B20171105WKD_051750_R..N93R,10:00:00,0.8377139674868647,R,0.0,R..N93R,POINT (-73.89529288997372 40.7483254535728)
4079,B20171105WKD_051800_L..S01R,09:00:00,0.6420884243665019,L,1.0,L..S01R,POINT (-73.90924482308768 40.69849954556723)
4081,B20171105WKD_051850_F..N69R,09:00:00,0.1982489647658678,F,0.0,F..N69R,POINT (-73.97666408884122 40.65551714092055)
4082,B20171105WKD_051850_F..N69R,10:00:00,0.8371097603940489,F,0.0,F..N69R,POINT (-73.84980529938073 40.72449427447926)
4087,B20171105WKD_051950_L..N01R,09:00:00,0.5033428374436902,L,0.0,L..N01R,POINT (-73.93139500893476 40.70643614254487)
4089,B20171105WKD_052000_J..N54R,09:00:00,0.616786526826502,J,0.0,J..N54R,POINT (-73.94194202088323 40.70073001252995)
4091,B20171105WKD_052100_A..N86R,09:00:00,0.24604180281981422,A,0.0,A..N86R,POINT (-73.90818773340193 40.67821940194447)
4092,B20171105WKD_052100_E..N66R,09:00:00,0.2823481802352852,E,0.0,E..N66R,POINT (-73.97122145489577 40.75847034649902)
4093,B20171105WKD_052100_L..S01R,09:00:00,0.5490389710984638,L,1.0,L..S01R,POINT (-73.92281856819059 40.70654816948772)
4095,B20171105WKD_052200_A..N55R,09:00:00,0.2182494799732077,A,0.0,A..N55R,POINT (-73.82632699515693 40.64810662177075)
4096,B20171105WKD_052200_A..N55R,10:00:00,0.8135625690227969,A,0.0,A..N55R,POINT (-73.96770389680049 40.78752645589432)
4097,B20171105WKD_052200_B..S45R,09:00:00,0.2040837093220393,B,1.0,B..S45R,POINT (-73.94008472726357 40.82991978719362)
4098,B20171105WKD_052200_B..S45R,10:00:00,0.9575023436611857,B,1.0,B..S45R,POINT (-73.95429677665618 40.59062954092818)
4099,B20171105WKD_052200_L..N05R,09:00:00,0.8358726672812908,L,0.0,L..N05R,POINT (-73.98650711343778 40.73301113543171)
4100,B20171105WKD_052250_F..N68R,09:00:00,0.17783256068187805,F,0.0,F..N68R,POINT (-73.98325939311698 40.66770513475529)
